GEO.id	GEOID10	GEO.display-label	population	collision
1500000US370810119041	3.7081E+11	"Block Group 1, Census Tract 119.04, Guilford County, North Carolina"	2018	0
1500000US370810119042	3.7081E+11	"Block Group 2, Census Tract 119.04, Guilford County, North Carolina"	2695	0
1500000US370810119051	3.7081E+11	"Block Group 1, Census Tract 119.05, Guilford County, North Carolina"	1722	0
1500000US370810119052	3.7081E+11	"Block Group 2, Census Tract 119.05, Guilford County, North Carolina"	945	0
1500000US370810119053	3.7081E+11	"Block Group 3, Census Tract 119.05, Guilford County, North Carolina"	1709	0
1500000US370810125031	3.7081E+11	"Block Group 1, Census Tract 125.03, Guilford County, North Carolina"	1498	0
1500000US370810125032	3.7081E+11	"Block Group 2, Census Tract 125.03, Guilford County, North Carolina"	2922	0
1500000US370810125041	3.7081E+11	"Block Group 1, Census Tract 125.04, Guilford County, North Carolina"	1523	0
1500000US370810125042	3.7081E+11	"Block Group 2, Census Tract 125.04, Guilford County, North Carolina"	1880	147
1500000US370810125051	3.7081E+11	"Block Group 1, Census Tract 125.05, Guilford County, North Carolina"	1597	62
1500000US370810125052	3.7081E+11	"Block Group 2, Census Tract 125.05, Guilford County, North Carolina"	1073	204
1500000US370810125053	3.7081E+11	"Block Group 3, Census Tract 125.05, Guilford County, North Carolina"	1973	4
1500000US370810125081	3.7081E+11	"Block Group 1, Census Tract 125.08, Guilford County, North Carolina"	664	40
1500000US370810125082	3.7081E+11	"Block Group 2, Census Tract 125.08, Guilford County, North Carolina"	1136	183
1500000US370810125083	3.7081E+11	"Block Group 3, Census Tract 125.08, Guilford County, North Carolina"	562	232
1500000US370810125084	3.7081E+11	"Block Group 4, Census Tract 125.08, Guilford County, North Carolina"	1122	98
1500000US370810125091	3.7081E+11	"Block Group 1, Census Tract 125.09, Guilford County, North Carolina"	2440	29
1500000US370810125101	3.7081E+11	"Block Group 1, Census Tract 125.10, Guilford County, North Carolina"	1504	6
1500000US370810125102	3.7081E+11	"Block Group 2, Census Tract 125.10, Guilford County, North Carolina"	1601	0
1500000US370810125111	3.7081E+11	"Block Group 1, Census Tract 125.11, Guilford County, North Carolina"	1644	0
1500000US370810125112	3.7081E+11	"Block Group 2, Census Tract 125.11, Guilford County, North Carolina"	1531	30
1500000US370810125113	3.7081E+11	"Block Group 3, Census Tract 125.11, Guilford County, North Carolina"	1332	127
1500000US370810125114	3.7081E+11	"Block Group 4, Census Tract 125.11, Guilford County, North Carolina"	519	167
1500000US370810126011	3.7081E+11	"Block Group 1, Census Tract 126.01, Guilford County, North Carolina"	1490	281
1500000US370810126012	3.7081E+11	"Block Group 2, Census Tract 126.01, Guilford County, North Carolina"	2174	188
1500000US370810126013	3.7081E+11	"Block Group 3, Census Tract 126.01, Guilford County, North Carolina"	770	143
1500000US370810126014	3.7081E+11	"Block Group 4, Census Tract 126.01, Guilford County, North Carolina"	1584	28
1500000US370810126041	3.7081E+11	"Block Group 1, Census Tract 126.04, Guilford County, North Carolina"	1244	842
1500000US370810126042	3.7081E+11	"Block Group 2, Census Tract 126.04, Guilford County, North Carolina"	1038	146
1500000US370810126043	3.7081E+11	"Block Group 3, Census Tract 126.04, Guilford County, North Carolina"	1963	158
1500000US370810126044	3.7081E+11	"Block Group 4, Census Tract 126.04, Guilford County, North Carolina"	801	111
1500000US370810126071	3.7081E+11	"Block Group 1, Census Tract 126.07, Guilford County, North Carolina"	2330	0
1500000US370810126081	3.7081E+11	"Block Group 1, Census Tract 126.08, Guilford County, North Carolina"	2794	204
1500000US370810126091	3.7081E+11	"Block Group 1, Census Tract 126.09, Guilford County, North Carolina"	2755	300
1500000US370810126092	3.7081E+11	"Block Group 2, Census Tract 126.09, Guilford County, North Carolina"	2506	0
1500000US370810126093	3.7081E+11	"Block Group 3, Census Tract 126.09, Guilford County, North Carolina"	2324	0
1500000US370810126094	3.7081E+11	"Block Group 4, Census Tract 126.09, Guilford County, North Carolina"	757	0
1500000US370810126101	3.7081E+11	"Block Group 1, Census Tract 126.10, Guilford County, North Carolina"	1403	0
1500000US370810126102	3.7081E+11	"Block Group 2, Census Tract 126.10, Guilford County, North Carolina"	2075	0
1500000US370810126111	3.7081E+11	"Block Group 1, Census Tract 126.11, Guilford County, North Carolina"	2255	782
1500000US370810126112	3.7081E+11	"Block Group 2, Census Tract 126.11, Guilford County, North Carolina"	1694	19
1500000US370810126121	3.7081E+11	"Block Group 1, Census Tract 126.12, Guilford County, North Carolina"	2846	0
1500000US370810126122	3.7081E+11	"Block Group 2, Census Tract 126.12, Guilford County, North Carolina"	1218	1
1500000US370810126123	3.7081E+11	"Block Group 3, Census Tract 126.12, Guilford County, North Carolina"	2592	5
1500000US370810126171	3.7081E+11	"Block Group 1, Census Tract 126.17, Guilford County, North Carolina"	2418	1
1500000US370810126172	3.7081E+11	"Block Group 2, Census Tract 126.17, Guilford County, North Carolina"	1011	107
1500000US370810127031	3.7081E+11	"Block Group 1, Census Tract 127.03, Guilford County, North Carolina"	1722	1573
1500000US370810127032	3.7081E+11	"Block Group 2, Census Tract 127.03, Guilford County, North Carolina"	1086	22
1500000US370810127033	3.7081E+11	"Block Group 3, Census Tract 127.03, Guilford County, North Carolina"	1769	41
1500000US370810127041	3.7081E+11	"Block Group 1, Census Tract 127.04, Guilford County, North Carolina"	685	1
1500000US370810127042	3.7081E+11	"Block Group 2, Census Tract 127.04, Guilford County, North Carolina"	1742	170
1500000US370810127043	3.7081E+11	"Block Group 3, Census Tract 127.04, Guilford County, North Carolina"	1252	0
1500000US370810127051	3.7081E+11	"Block Group 1, Census Tract 127.05, Guilford County, North Carolina"	1453	73
1500000US370810127052	3.7081E+11	"Block Group 2, Census Tract 127.05, Guilford County, North Carolina"	1923	0
1500000US370810127061	3.7081E+11	"Block Group 1, Census Tract 127.06, Guilford County, North Carolina"	1976	0
1500000US370810127062	3.7081E+11	"Block Group 2, Census Tract 127.06, Guilford County, North Carolina"	1891	98
1500000US370810127071	3.7081E+11	"Block Group 1, Census Tract 127.07, Guilford County, North Carolina"	862	419
1500000US370810127072	3.7081E+11	"Block Group 2, Census Tract 127.07, Guilford County, North Carolina"	1943	0
1500000US370810128031	3.7081E+11	"Block Group 1, Census Tract 128.03, Guilford County, North Carolina"	2741	362
1500000US370810128032	3.7081E+11	"Block Group 2, Census Tract 128.03, Guilford County, North Carolina"	5804	1440
1500000US370810128041	3.7081E+11	"Block Group 1, Census Tract 128.04, Guilford County, North Carolina"	2176	429
1500000US370810128042	3.7081E+11	"Block Group 2, Census Tract 128.04, Guilford County, North Carolina"	2176	238
1500000US370810128051	3.7081E+11	"Block Group 1, Census Tract 128.05, Guilford County, North Carolina"	2777	59
1500000US370810136011	3.7081E+11	"Block Group 1, Census Tract 136.01, Guilford County, North Carolina"	1478	268
1500000US370810136012	3.7081E+11	"Block Group 2, Census Tract 136.01, Guilford County, North Carolina"	966	561
1500000US370810136021	3.7081E+11	"Block Group 1, Census Tract 136.02, Guilford County, North Carolina"	1401	365
1500000US370810136022	3.7081E+11	"Block Group 2, Census Tract 136.02, Guilford County, North Carolina"	660	329
1500000US370810136023	3.7081E+11	"Block Group 3, Census Tract 136.02, Guilford County, North Carolina"	832	232
1500000US370810136024	3.7081E+11	"Block Group 4, Census Tract 136.02, Guilford County, North Carolina"	908	1447
1500000US370810137001	3.7081E+11	"Block Group 1, Census Tract 137, Guilford County, North Carolina"	1066	302
1500000US370810137002	3.7081E+11	"Block Group 2, Census Tract 137, Guilford County, North Carolina"	605	300
1500000US370810137003	3.7081E+11	"Block Group 3, Census Tract 137, Guilford County, North Carolina"	683	385
1500000US370810137004	3.7081E+11	"Block Group 4, Census Tract 137, Guilford County, North Carolina"	690	626
1500000US370810137005	3.7081E+11	"Block Group 5, Census Tract 137, Guilford County, North Carolina"	820	276
1500000US370810138001	3.7081E+11	"Block Group 1, Census Tract 138, Guilford County, North Carolina"	1092	534
